ID,11miseq10,11miseq11,11miseq12,11miseq13,11miseq14,11miseq15,11miseq16,11miseq17,11miseq18,11miseq19,11miseq20,11miseq21,11miseq22,11miseq23,11miseq24,11miseq25,11miseq26,11miseq27,11miseq28,11miseq29,11miseq30,11miseq31,11miseq32,11miseq33,11miseq34,11miseq35,11miseq36,11miseq37,11miseq38,11miseq39,11miseq40,11miseq46,11miseq47,11miseq48,11miseq49,11miseq50,11miseq6,11miseq7,11miseq8,11miseq81,11miseq82,11miseq83,11miseq84,11miseq85,11miseq86,11miseq87,11miseq88,11miseq89,11miseq9,11miseq90
OTU_214919,690.6759144,89.88510795,32.7890709,117.9160101,211.8125858,117.9160101,304.060219,51.76749244,690.6759144,529.1852685,224.7501418,51.76749244,10.25662448,58.16981106,224.7501418,86.71484203,148.6591024,401.6152498,224.7501418,224.7501418,283.0814599,529.1852685,441.2814328,9.35284982,690.6759144,485.6721891,1956.028319,879.4248367,1652.726656,441.2814328,1652.726656,135.5288986,241.5517744,197.365802,211.8125858,767.6605602,485.6721891,143.184928,328.0535544,1021.874815,1652.726656,1021.874815,529.1852685,1378.15924,8968.114991,3761.972673,8968.114991,3761.972673,155.99882,2528.557226
OTU_258725,1021.874815,5217.05569,2528.557226,767.6605602,1378.15924,401.6152498,1170.584609,304.060219,1021.874815,1021.874815,529.1852685,441.2814328,690.6759144,578.032735,441.2814328,241.5517744,578.032735,1021.874815,485.6721891,365.3746115,578.032735,636.5179114,578.032735,578.032735,636.5179114,690.6759144,10.09829048,690.6759144,328.0535544,1652.726656,947.9807121,690.6759144,879.4248367,529.1852685,441.2814328,63.93079511,1378.15924,8968.114991,1652.726656,34.05631127,21.67969603,21.67969603,3.857735491,36.80025858,185.0251354,18.11835489,103.1288812,12.1344366,636.5179114,17.52363619
OTU_176118,401.6152498,767.6605602,85.11635316,485.6721891,636.5179114,1956.028319,197.365802,767.6605602,879.4248367,690.6759144,328.0535544,1170.584609,636.5179114,690.6759144,578.032735,636.5179114,485.6721891,328.0535544,383.0677098,728.1529304,241.5517744,129.1197934,365.3746115,767.6605602,283.0814599,365.3746115,690.6759144,578.032735,767.6605602,879.4248367,767.6605602,485.6721891,173.9684916,224.7501418,173.9684916,485.6721891,578.032735,529.1852685,185.0251354,34.05631127,91.17543267,21.67969603,52.24281835,36.80025858,8.972400599,3.321977771,31.71722203,2.70124834,401.6152498,3.302580089
OTU_269886,636.5179114,485.6721891,578.032735,365.3746115,690.6759144,767.6605602,283.0814599,578.032735,485.6721891,578.032735,1652.726656,485.6721891,211.8125858,1021.874815,72.80717171,72.80717171,383.0677098,117.9160101,690.6759144,1021.874815,224.7501418,173.9684916,21.00707974,365.3746115,401.6152498,1021.874815,328.0535544,139.3047021,879.4248367,1170.584609,124.1110535,173.9684916,2528.557226,346.2130012,283.0814599,129.1197934,690.6759144,1956.028319,401.6152498,52.24281835,21.67969603,3.586268059,24.73492405,19.57234257,328.0535544,33.28051,218.1859289,262.5581823,1652.726656,31.05636888
OTU_180405,879.4248367,45.35720104,110.2719218,879.4248367,65.41609149,262.5581823,124.1110535,2528.557226,185.0251354,767.6605602,185.0251354,304.060219,1652.726656,1378.15924,124.1110535,185.0251354,1021.874815,148.6591024,197.365802,441.2814328,83.56616605,462.9461963,197.365802,1652.726656,241.5517744,155.99882,224.7501418,85.11635316,578.032735,262.5581823,164.8537874,767.6605602,82.04388397,767.6605602,578.032735,241.5517744,85.11635316,124.1110535,129.1197934,767.6605602,1170.584609,1170.584609,879.4248367,767.6605602,148.6591024,283.0814599,328.0535544,879.4248367,65.41609149,441.2814328
OTU_611528,0,0,0,0.968727197,0,0,0,0,0,0,0,0,0,1.313064811,0,0,1.16021844,0,1.847777434,0,5.060945605,0,2.080805232,0,0,0,0,0,2.675942117,1.847777434,0,0,0.244124712,0,0,0,0.270467942,1.815617261,0.168656074,52.24281835,75.39423433,3.586268059,3.857735491,19.57234257,1.815617261,46.14002064,11.10778841,2.70124834,0,3.302580089
OTU_193672,241.5517744,95.49572195,31.71722203,164.8537874,173.9684916,110.2719218,143.184928,45.74697224,135.5288986,129.1197934,92.48407655,224.7501418,50.74991678,26.72711635,185.0251354,110.2719218,124.1110535,173.9684916,383.0677098,76.62942216,262.5581823,185.0251354,173.9684916,16.18412367,129.1197934,95.49572195,148.6591024,262.5581823,155.99882,95.49572195,143.184928,63.93079511,117.9160101,117.9160101,65.41609149,185.0251354,328.0535544,92.48407655,304.060219,879.4248367,1378.15924,636.5179114,2528.557226,1652.726656,5217.05569,1652.726656,5217.05569,5217.05569,86.71484203,5217.05569
OTU_47365,89.88510795,82.04388397,55.77974881,6.942598419,262.5581823,30.40886427,148.6591024,10.92870981,45.35720104,36.80025858,51.76749244,7.940654138,2.356053939,34.84966968,143.184928,211.8125858,10.92870981,211.8125858,262.5581823,241.5517744,328.0535544,89.88510795,38.80015637,5.437623589,86.71484203,59.2652654,25.22832406,73.48977929,19.41605606,15.92791934,8.022130043,25.22832406,262.5581823,16.36635835,59.2652654,143.184928,86.71484203,129.1197934,16.18412367,1170.584609,767.6605602,1378.15924,1021.874815,1021.874815,441.2814328,1021.874815,1021.874815,529.1852685,283.0814599,1021.874815
OTU_233817,197.365802,46667.31845,485.6721891,283.0814599,8.521682973,224.7501418,1956.028319,79.59194432,283.0814599,485.6721891,55.77974881,2.884224942,3.857735491,3.321977771,3.857735491,2.395734501,110.2719218,6.571997013,241.5517744,10.80962395,91.17543267,2.506747284,6.100231081,3.549826051,6.457142441,0.90012404,2.811258097,2.884224942,3.741327691,3.271109746,2.969643008,578.032735,1956.028319,1170.584609,1652.726656,690.6759144,879.4248367,1021.874815,1956.028319,19.57234257,21.67969603,64.66924416,24.73492405,19.57234257,1956.028319,79.59194432,152.2850367,636.5179114,690.6759144,107.508126
OTU_772515,1.313064811,0,4.668674006,0.968727197,1.213822213,0.493123324,0,7.526061374,6.754775438,11.07835669,2.590348178,4.503538284,7.526061374,0,3.857735491,4.324757985,2.467661635,1.107912588,1.847777434,0,0,0.968727197,4.503538284,4.668674006,1.831651691,3.302580089,0,3.880121078,0,0,5.235275861,10.76739778,2.726728777,11.10778841,0,5.739104293,0,1.815617261,7.9812997,52.24281835,636.5179114,64.66924416,3.857735491,95.49572195,1.815617261,33.28051,44.31390434,12.1344366,0.493123324,17.52363619
