Node,Subnetwork_partition
metabolite72,lipid_metab_0
lipid140,lipid_metab_2
lipid328,lipid_metab_4
lipid75,lipid_metab_2
lipid161,lipid_metab_2
lipid208,lipid_metab_1
lipid2,lipid_metab_3
lipid533,lipid_metab_5
lipid324,lipid_metab_5
lipid139,lipid_metab_5
lipid502,lipid_metab_5
lipid380,lipid_metab_4
lipid246,lipid_metab_4
lipid500,lipid_metab_2
metabolite82,lipid_metab_8
lipid64,lipid_metab_5
lipid501,lipid_metab_0
lipid390,lipid_metab_4
lipid409,lipid_metab_4
lipid406,lipid_metab_4
lipid183,lipid_metab_1
lipid23,lipid_metab_3
lipid342,lipid_metab_4
lipid301,lipid_metab_4
lipid326,lipid_metab_4
lipid433,lipid_metab_4
lipid469,lipid_metab_10
lipid348,lipid_metab_4
lipid213,lipid_metab_5
lipid400,lipid_metab_4
lipid417,lipid_metab_4
lipid399,lipid_metab_4
lipid345,lipid_metab_4
lipid364,lipid_metab_5
lipid55,lipid_metab_4
lipid221,lipid_metab_1
lipid154,lipid_metab_2
lipid243,lipid_metab_1
lipid325,lipid_metab_4
lipid121,lipid_metab_6
lipid143,lipid_metab_6
lipid476,lipid_metab_2
lipid107,lipid_metab_4
lipid377,lipid_metab_7
lipid30,lipid_metab_8
lipid369,lipid_metab_2
lipid220,lipid_metab_1
lipid494,lipid_metab_10
lipid458,lipid_metab_0
lipid266,lipid_metab_4
lipid335,lipid_metab_4
lipid81,lipid_metab_4
lipid150,lipid_metab_2
ENSMUSG00000052337,RNAseq_0
ENSMUSG00000000056,RNAseq_0
ENSMUSG00000052595,RNAseq_1
ENSMUSG00000026579,RNAseq_1
ENSMUSG00000022911,RNAseq_0
ENSMUSG00000038446,RNAseq_0
ENSMUSG00000074115,RNAseq_3
ENSMUSG00000057465,RNAseq_3
ENSMUSG00000041997,RNAseq_0
ENSMUSG00000021039,RNAseq_1
ENSMUSG00000006005,RNAseq_1
ENSMUSG00000046230,RNAseq_4
ENSMUSG00000022383,RNAseq_0
ENSMUSG00000027680,RNAseq_1
ENSMUSG00000020224,RNAseq_1
ENSMUSG00000027677,RNAseq_0
ENSMUSG00000034163,RNAseq_0
ENSMUSG00000037416,RNAseq_0
ENSMUSG00000072294,RNAseq_0
ENSMUSG00000050697,RNAseq_4
ENSMUSG00000028180,RNAseq_0
ENSMUSG00000003813,RNAseq_0
ENSMUSG00000057181,RNAseq_0
ENSMUSG00000046111,RNAseq_0
ENSMUSG00000049091,RNAseq_4
ENSMUSG00000027884,RNAseq_0
ENSMUSG00000011960,RNAseq_0
ENSMUSG00000026822,RNAseq_3
ENSMUSG00000042605,RNAseq_1
ENSMUSG00000024526,RNAseq_5
ENSMUSG00000028797,RNAseq_0
ENSMUSG00000023852,RNAseq_1
ENSMUSG00000020863,RNAseq_0
ENSMUSG00000020250,RNAseq_4
