lipid_metab_node,RNAseq_node,Shortest_path_length,number_of_shortest_paths
lipid105,ENSMUSG00000049606,9,121
lipid105,ENSMUSG00000050697,9,121
lipid105,ENSMUSG00000051285,9,121
lipid105,ENSMUSG00000052337,10,1210
lipid105,ENSMUSG00000052428,10,484
lipid105,ENSMUSG00000052539,9,242
lipid105,ENSMUSG00000052595,8,121
lipid105,ENSMUSG00000053453,9,121
lipid105,ENSMUSG00000053510,11,9317
lipid105,ENSMUSG00000053877,9,242
lipid105,ENSMUSG00000054226,10,484
lipid105,ENSMUSG00000056608,10,726
lipid105,ENSMUSG00000057110,10,847
lipid105,ENSMUSG00000057181,10,121
lipid105,ENSMUSG00000058056,11,8591
lipid105,ENSMUSG00000058301,10,847
lipid105,ENSMUSG00000058587,10,1815
lipid105,ENSMUSG00000059495,9,121
lipid105,ENSMUSG00000060961,9,121
lipid105,ENSMUSG00000061331,10,2057
lipid105,ENSMUSG00000061755,9,121
lipid105,ENSMUSG00000062949,9,121
lipid105,ENSMUSG00000062981,10,2178
lipid105,ENSMUSG00000063077,9,121
lipid105,ENSMUSG00000063382,11,1210
lipid105,ENSMUSG00000064294,9,121
lipid105,ENSMUSG00000064337,9,242
lipid105,ENSMUSG00000064339,9,121
lipid105,ENSMUSG00000064345,10,2057
lipid105,ENSMUSG00000064367,9,121
lipid105,ENSMUSG00000066406,10,121
lipid105,ENSMUSG00000068220,3,4
lipid105,ENSMUSG00000069892,9,121
lipid105,ENSMUSG00000070594,9,242
lipid105,ENSMUSG00000072294,10,121
lipid105,ENSMUSG00000074422,9,121
lipid105,ENSMUSG00000078427,10,2057
lipid105,ENSMUSG00000080542,10,1331
lipid105,ENSMUSG00000090836,10,1089
lipid106,ENSMUSG00000000056,7,2
lipid106,ENSMUSG00000002028,8,18
lipid106,ENSMUSG00000003039,8,10
lipid106,ENSMUSG00000003813,8,2
lipid106,ENSMUSG00000004207,8,2
lipid106,ENSMUSG00000006005,7,2
lipid106,ENSMUSG00000011960,8,2
lipid106,ENSMUSG00000015759,8,6
lipid106,ENSMUSG00000016756,7,2
lipid106,ENSMUSG00000020154,8,2
lipid106,ENSMUSG00000020224,7,2
lipid106,ENSMUSG00000020250,8,18
lipid106,ENSMUSG00000020608,8,56
lipid106,ENSMUSG00000020609,7,2
lipid106,ENSMUSG00000020709,8,24
lipid106,ENSMUSG00000020721,7,2
lipid106,ENSMUSG00000020863,7,2
lipid106,ENSMUSG00000021039,6,2
lipid106,ENSMUSG00000021149,8,26
lipid106,ENSMUSG00000021243,8,2
lipid106,ENSMUSG00000021408,9,106
lipid106,ENSMUSG00000021413,8,20
lipid106,ENSMUSG00000021549,8,20
lipid106,ENSMUSG00000022141,8,16
lipid106,ENSMUSG00000022205,9,180
lipid106,ENSMUSG00000022383,7,4
lipid106,ENSMUSG00000022387,8,4
lipid106,ENSMUSG00000022521,8,4
lipid106,ENSMUSG00000022911,7,2
lipid106,ENSMUSG00000023852,7,4
lipid106,ENSMUSG00000024083,8,8
lipid106,ENSMUSG00000024096,6,1
lipid106,ENSMUSG00000024122,8,2
lipid106,ENSMUSG00000024188,8,18
lipid106,ENSMUSG00000024384,8,2
lipid106,ENSMUSG00000024498,7,2
lipid106,ENSMUSG00000024526,8,1
lipid106,ENSMUSG00000024921,8,2
lipid106,ENSMUSG00000024975,8,4
lipid106,ENSMUSG00000025194,8,8
lipid106,ENSMUSG00000025364,8,6
lipid106,ENSMUSG00000025809,7,2
lipid106,ENSMUSG00000025860,8,10
lipid106,ENSMUSG00000026234,7,2
lipid106,ENSMUSG00000026353,7,2
lipid106,ENSMUSG00000026398,8,22
lipid106,ENSMUSG00000026464,8,32
lipid106,ENSMUSG00000026579,7,2
lipid106,ENSMUSG00000026740,8,6
lipid106,ENSMUSG00000026743,9,162
lipid106,ENSMUSG00000026991,8,10
lipid106,ENSMUSG00000027677,8,8
lipid106,ENSMUSG00000027680,7,4
lipid106,ENSMUSG00000027708,9,58
lipid106,ENSMUSG00000027884,8,22
lipid106,ENSMUSG00000028029,8,32
lipid106,ENSMUSG00000028053,7,2
lipid106,ENSMUSG00000028180,8,30
lipid106,ENSMUSG00000028559,8,36
lipid106,ENSMUSG00000028797,8,4
lipid106,ENSMUSG00000028869,8,10
lipid106,ENSMUSG00000029623,8,22
lipid106,ENSMUSG00000029634,8,10
lipid106,ENSMUSG00000029836,7,2
lipid106,ENSMUSG00000030059,8,64
lipid106,ENSMUSG00000030122,8,12
lipid106,ENSMUSG00000030216,8,4
lipid106,ENSMUSG00000030451,8,12
lipid106,ENSMUSG00000030557,8,20
lipid106,ENSMUSG00000030738,7,4
lipid106,ENSMUSG00000031060,8,2
lipid106,ENSMUSG00000031357,7,2
lipid106,ENSMUSG00000031902,8,48
lipid106,ENSMUSG00000031954,8,6
lipid106,ENSMUSG00000032384,9,186
lipid106,ENSMUSG00000032407,8,50
lipid106,ENSMUSG00000032525,8,8
lipid106,ENSMUSG00000032727,8,36
lipid106,ENSMUSG00000032763,6,4
lipid106,ENSMUSG00000033228,8,2
lipid106,ENSMUSG00000034163,9,210
lipid106,ENSMUSG00000034243,7,2
lipid106,ENSMUSG00000034252,7,2
lipid106,ENSMUSG00000034610,7,2
lipid106,ENSMUSG00000034620,7,2
lipid106,ENSMUSG00000035284,8,38
lipid106,ENSMUSG00000035349,7,2
lipid106,ENSMUSG00000035469,8,14
lipid106,ENSMUSG00000035762,8,14
lipid106,ENSMUSG00000036180,8,12
lipid106,ENSMUSG00000036940,7,2
lipid106,ENSMUSG00000037110,8,4
lipid106,ENSMUSG00000037234,8,24
lipid106,ENSMUSG00000037416,8,2
lipid106,ENSMUSG00000038446,8,2
lipid106,ENSMUSG00000038664,7,2
lipid106,ENSMUSG00000038708,7,2
lipid106,ENSMUSG00000038774,7,2
lipid106,ENSMUSG00000039704,9,32
lipid106,ENSMUSG00000040459,8,16
lipid106,ENSMUSG00000040549,8,34
lipid106,ENSMUSG00000041360,9,104
lipid106,ENSMUSG00000041997,8,28
lipid106,ENSMUSG00000042605,7,2
lipid106,ENSMUSG00000042814,6,2
lipid106,ENSMUSG00000043279,8,4
lipid106,ENSMUSG00000044252,8,2
lipid106,ENSMUSG00000044519,7,2
lipid106,ENSMUSG00000044573,7,2
lipid106,ENSMUSG00000046111,8,8
lipid106,ENSMUSG00000046230,7,2
lipid106,ENSMUSG00000048000,7,2
lipid106,ENSMUSG00000048118,8,10
lipid106,ENSMUSG00000049091,7,2
lipid106,ENSMUSG00000049606,7,2
lipid106,ENSMUSG00000050697,7,2
lipid106,ENSMUSG00000051285,7,2
lipid106,ENSMUSG00000052337,8,20
lipid106,ENSMUSG00000052428,8,8
lipid106,ENSMUSG00000052539,7,4
lipid106,ENSMUSG00000052595,6,2
lipid106,ENSMUSG00000053453,7,2
lipid106,ENSMUSG00000053510,9,154
lipid106,ENSMUSG00000053877,7,4
lipid106,ENSMUSG00000054226,8,8
lipid106,ENSMUSG00000056608,8,12
lipid106,ENSMUSG00000057110,8,14
lipid106,ENSMUSG00000057181,8,2
lipid106,ENSMUSG00000058056,9,142
lipid106,ENSMUSG00000058301,8,14
lipid106,ENSMUSG00000058587,8,30
lipid106,ENSMUSG00000059495,7,2
lipid106,ENSMUSG00000060961,7,2
lipid106,ENSMUSG00000061331,8,34
lipid106,ENSMUSG00000061755,7,2
lipid106,ENSMUSG00000062949,7,2
lipid106,ENSMUSG00000062981,8,36
lipid106,ENSMUSG00000063077,7,2
lipid106,ENSMUSG00000063382,9,20
lipid106,ENSMUSG00000064294,7,2
lipid106,ENSMUSG00000064337,7,4
lipid106,ENSMUSG00000064339,7,2
lipid106,ENSMUSG00000064345,8,34
lipid106,ENSMUSG00000064367,7,2
lipid106,ENSMUSG00000066406,8,2
lipid106,ENSMUSG00000068220,8,1
lipid106,ENSMUSG00000069892,7,2
lipid106,ENSMUSG00000070594,7,4
lipid106,ENSMUSG00000072294,8,2
lipid106,ENSMUSG00000074422,7,2
lipid106,ENSMUSG00000078427,8,34
lipid106,ENSMUSG00000080542,8,22
lipid106,ENSMUSG00000090836,8,18
lipid107,ENSMUSG00000000056,8,2
lipid107,ENSMUSG00000002028,9,18
lipid107,ENSMUSG00000003039,9,10
lipid107,ENSMUSG00000003813,9,2
lipid107,ENSMUSG00000004207,9,2
lipid107,ENSMUSG00000006005,8,2
lipid107,ENSMUSG00000011960,9,2
lipid107,ENSMUSG00000015759,9,6
lipid107,ENSMUSG00000016756,8,2
lipid107,ENSMUSG00000020154,9,2
lipid107,ENSMUSG00000020224,8,2
lipid107,ENSMUSG00000020250,9,18
lipid107,ENSMUSG00000020608,9,56
lipid107,ENSMUSG00000020609,8,2
lipid107,ENSMUSG00000020709,9,24
lipid107,ENSMUSG00000020721,8,2
lipid107,ENSMUSG00000020863,8,2
lipid107,ENSMUSG00000021039,7,2
lipid107,ENSMUSG00000021149,9,26
lipid107,ENSMUSG00000021243,9,2
lipid107,ENSMUSG00000021408,10,106
lipid107,ENSMUSG00000021413,9,20
lipid107,ENSMUSG00000021549,9,20
lipid107,ENSMUSG00000022141,9,16
lipid107,ENSMUSG00000022205,10,180
lipid107,ENSMUSG00000022383,8,4
lipid107,ENSMUSG00000022387,9,4
lipid107,ENSMUSG00000022521,9,4
lipid107,ENSMUSG00000022911,8,2
lipid107,ENSMUSG00000023852,8,4
lipid107,ENSMUSG00000024083,9,8
lipid107,ENSMUSG00000024096,7,1
lipid107,ENSMUSG00000024122,9,2
lipid107,ENSMUSG00000024188,9,18
lipid107,ENSMUSG00000024384,9,2
lipid107,ENSMUSG00000024498,8,2
lipid107,ENSMUSG00000024526,9,1
lipid107,ENSMUSG00000024921,9,2
lipid107,ENSMUSG00000024975,9,4
lipid107,ENSMUSG00000025194,9,8
