ID,Type,Median Value (experiment1),Median Value (experiment2),Mean Value (experiment1),Mean Value (experiment2),Comparison p-value (experiment1),Comparison p-value (experiment2),Median Log2 Fold Change (experiment1),Median Log2 Fold Change (experiment2),Mean Log2 Fold Change (experiment1),Mean Log2 Fold Change (experiment2),Median Log2 Fold Change Direction (experiment1),Median Log2 Fold Change Direction (experiment2),Median Log2 Fold Changes Consistent,Combined Comparison p-value,Corrected Comparison p-value
OTU_176154,microbe,20.13477408,8.979911624,62.76319253058,17.729340623619997,0.0119252335930176,0.6904761904761905,-1.6094856425097266,-0.05587338010082832,-1.8633213573863037,-0.13553983805209416,-1.0,-1.0,True,0.04775337724023522,0.14326013172070567
OTU_179703,microbe,5.8151586465000005,3.9077639160000004,7.476569717560004,3.7218614483800008,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_180362,microbe,0.0,1.9403818720000001,1.3581529888000003,3.4778072106200004,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_182712,microbe,10.09829048,7.0250758215,11.20786693436,7.184879434759999,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_182764,microbe,11.652714085,8.244844124,74.10189714242001,27.55369619228,0.09068836617120415,0.011667312343319386,-0.6131768949763435,-2.9924092074551645,-0.7689595926834929,-2.827975781345545,-1.0,-1.0,True,0.008307367845721756,0.09219122893063604
OTU_183446,microbe,3145.2649495,757.5655379,7219.121013987401,1319.1929516082,0.007290358091535638,0.4605966187047713,-5.729708483090316,-1.4491320330429422,-5.607505972358022,-2.920159165018814,-1.0,-1.0,True,0.022486055578317475,0.12245051906933113
OTU_185177,microbe,8.556678002,5.447960167,10.38114539586,5.752639718779999,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_185222,microbe,4.664286059,2.5536268294999998,5.481276726119998,2.82962965198,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_187233,microbe,10.943990320000001,8.4046302225,69.4176076164,29.182293001079998,0.08968602177036457,0.0119252335930176,-0.2650193129059501,-2.4355893678618825,-0.7347471816164011,-2.510883171618759,-1.0,-1.0,True,0.00838566628018448,0.09219122893063604
OTU_187962,microbe,5.174773742999999,3.6972549304999998,32.099009720279994,14.749567742420002,0.2222222222222222,0.011159425282914755,-2.061889923863942,-4.212073916745963,-0.8626199311458889,-3.0914029345988876,-1.0,-1.0,True,0.017357985634177956,0.10112913369477593
OTU_188225,microbe,22.540077005,14.278999185,27.13432626984,14.40565224996,0.0119252335930176,0.6904761904761905,-0.46992405199094206,-0.7221201433360873,-1.4787093742443593,-0.8881066323931206,-1.0,-1.0,True,0.04775337724023522,0.14326013172070567
OTU_1902400,microbe,0.078180634,3.3010460495,2.4582925948599996,3.26475248958,0.0119252335930176,0.5476190476190477,-0.46992405199094206,-1.4656424379909239,-1.9877219117815024,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_191067,microbe,124.1110535,66.456186105,269.94381857084005,114.69069794258002,0.2222222222222222,0.031746031746031744,3.9413606754400186,2.778982269724665,3.257122406083596,2.0783127598288362,1.0,1.0,True,0.04200398548576973,0.1340127155974558
