ID,Type,Median Value (experiment1),Median Value (experiment2),Mean Value (experiment1),Mean Value (experiment2),Comparison p-value (experiment1),Comparison p-value (experiment2),Median Log2 Fold Change (experiment1),Median Log2 Fold Change (experiment2),Mean Log2 Fold Change (experiment1),Mean Log2 Fold Change (experiment2),Median Log2 Fold Change Direction (experiment1),Median Log2 Fold Change Direction (experiment2),Median Log2 Fold Changes Consistent,Combined Comparison p-value,Corrected Comparison p-value
OTU_177195,microbe,283.0814599,167.8007633,342.4762058572201,193.60671686726005,0.15079365079365079,0.8412698412698413,2.5425312506602276,-0.230298388626312,3.08854766069909,0.2308456627876701,1.0,-1.0,False,0.3887803654332097,0.5315976425311235
OTU_177271,microbe,17.019980805000003,13.985859675,32.80983181084,16.37284287316,0.03614514204656228,0.8412698412698413,-2.8571182536312336,0.11908710644539537,-1.4254973508140496,-0.5764777171967275,-1.0,1.0,False,0.1366240145918553,0.27183429425581906
OTU_178959,microbe,173.9684916,24.376534675000002,158.13367667504,26.768621362179992,0.30952380952380953,0.8412698412698413,-0.2241606792568332,0.11908710644539537,-0.20245724256004968,-0.5963330555956293,-1.0,1.0,False,0.6107683135875269,0.6955491843121411
OTU_179547,microbe,129.1197934,39.88080393,120.18949365309996,34.41522895004,0.2222222222222222,0.15079365079365079,-0.21571180758890546,1.3507941788365998,-1.241098757116187,0.3267074623719645,-1.0,1.0,False,0.1473059720752468,0.27183429425581906
OTU_179703,microbe,5.8151586465000005,3.9077639160000004,7.476569717560004,3.7218614483800008,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_180235,microbe,8.993018945500001,7.0925514375,9.91289961622,6.951894771699999,0.42063492063492064,0.15079365079365079,-0.17150791295070877,1.3969583110573105,0.07882427775523888,1.356220064857879,-1.0,1.0,False,0.2383558674497785,0.3787314573707943
OTU_180362,microbe,0.0,1.9403818720000001,1.3581529888000003,3.4778072106200004,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_180405,microbe,262.5581823,119.4481689,505.4538123532002,151.8161499164,0.04520135297652211,0.02000818529160622,-1.422628925165035,1.173594139589617,-1.1927924277026725,1.05413941767669,-1.0,1.0,False,0.007242630482756473,0.09219122893063604
OTU_180535,microbe,8.6449455945,11.207490655,11.421181675900002,10.332344927159998,0.0119252335930176,0.6904761904761905,-0.46992405199094206,0.41683475564479927,-1.3986153771315213,0.8421946019607671,-1.0,1.0,False,0.04775337724023522,0.14326013172070567
OTU_181683,microbe,46.14002064,11.479308660000001,66.36270657019999,16.8215610655,0.6751736149271245,0.42063492063492064,1.9175673992042521,1.0435143740744997,1.420656549023677,1.220154379684892,1.0,1.0,True,0.6414958295497648,0.7284783149124447
OTU_182470,microbe,4.187615009,nan,4.5677691388,nan,0.15079365079365079,nan,-0.11888977996579296,nan,0.3784137256312016,nan,-1.0,nan,False,0.15079365079365087,0.27183429425581906
OTU_182712,microbe,10.09829048,7.0250758215,11.20786693436,7.184879434759999,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_182764,microbe,11.652714085,8.244844124,74.10189714242001,27.55369619228,0.09068836617120415,0.011667312343319386,-0.6131768949763435,-2.9924092074551645,-0.7689595926834929,-2.827975781345545,-1.0,-1.0,True,0.008307367845721756,0.09219122893063604
OTU_182893,microbe,27817.7167205,2068.485209,27013.928343039985,6623.509508013998,0.02480842454780953,0.13633299527519235,-1.8264903470584732,1.7056211290407486,-1.226303576900738,3.2320751565260863,-1.0,1.0,False,0.022624348802531453,0.12245051906933113
OTU_183446,microbe,3145.2649495,757.5655379,7219.121013987401,1319.1929516082,0.007290358091535638,0.4605966187047713,-5.729708483090316,-1.4491320330429422,-5.607505972358022,-2.920159165018814,-1.0,-1.0,True,0.022486055578317475,0.12245051906933113
OTU_183838,microbe,nan,0.0,nan,2.35929205646,nan,0.5476190476190477,nan,-1.4656424379909239,nan,-0.7080242775889175,nan,-1.0,False,0.5476190476190477,0.6362510322047895
OTU_184009,microbe,nan,0.0,nan,7.5291441558,nan,0.2222222222222222,nan,0.31935644991862244,nan,1.2692364279550372,nan,1.0,False,0.22222222222222218,0.3573333333333333
OTU_184451,microbe,553.6090017500001,216.08345494999998,744.9762995067999,282.85527082942,0.09523809523809523,0.30952380952380953,-1.4334045697469902,1.0181582596417145,-1.3313573789830644,1.0721522529105985,-1.0,1.0,False,0.13336335994061008,0.27183429425581906
OTU_184966,microbe,5.661268194,0.004936729,30.28790349304,23.48273796835999,0.14245669739409875,0.30952380952380953,-0.11888977996579296,-1.4713321802495023,0.31345012260459487,-1.371208940380436,-1.0,-1.0,True,0.18172959061149385,0.31901875731799356
