ID,RD_509,RD_510,RD_511,RD_512,RD_513,RD_514,RD_515,RD_516,WDO_517,WDO_518,WDO_519,WDO_520,WDO_521,WDO_522,WDO_523,WDO_524,WDE_525,WDE_526,WDE_527,WDE_528,WDE_529,WDE_530,WDE_531,WDE_532,WDD_533,WDD_534,WDD_535,WDD_536,WDD_537,WDD_538,WDD_539,WDD_540
ENSMUSG00000072294,2.892208273,11.80993861,3.515996002,3.97609061,3.398885856,5.991157377,2.758469561,3.677753924,12.45575426,10.11419167,11.48191407,12.69456415,13.55889359,16.47258381,15.60353585,14.36816791,10.62474181,17.22257356,5.334533105,9.765629703,4.277596719,4.677280843,6.153895002,6.243587372,3.555872925,14.19860565,7.891560192,1.963488385,5.233182539,3.769182372,6.128515297,3.550735928
ENSMUSG00000027680,30.90775849,27.04106046,26.77784347,35.19151529,33.33018424,30.48747586,24.70790994,20.08775033,65.09689725,55.97283968,93.41892546,86.28026291,76.30133777,59.86925307,92.06934489,98.21837353,61.47129509,76.06837517,36.42901448,55.91769638,24.66047486,31.530017,29.93438926,34.65578286,30.64866208,43.33752562,52.57288736,29.02599613,32.41610077,35.7156198,39.73724799,26.45240912
ENSMUSG00000021549,13.1100883,27.04106046,19.47619207,12.63811033,22.92853268,17.14178092,18.85137749,22.85691882,48.55831238,43.16174153,49.7709275,55.97283968,55.69375813,64.77398225,49.62747854,49.00317592,49.33345267,43.20589878,23.99715622,37.77289382,19.14943419,25.07199901,23.03971835,23.2402671,21.75215741,30.03135668,34.82014292,23.6898934,27.26307262,27.46175008,17.46956089,19.84417227
ENSMUSG00000028559,20.26215858,25.41823778,20.70133299,22.61861502,25.73806661,22.76097481,20.25657915,19.03578395,49.7709275,47.69391463,61.31422561,65.08433478,57.63922785,60.81252798,69.15315527,63.30507346,61.47129509,66.02260066,36.21556729,34.11601305,28.19484834,27.78075087,27.07958367,31.10960991,25.58040649,49.39660988,38.81865914,33.32103419,30.91222387,28.80146364,23.42785996,26.05296623
ENSMUSG00000063382,34.30826787,45.82414696,43.03497479,33.61574247,40.67013025,35.19768809,28.26530968,29.87299213,104.834129,84.87002817,84.34526362,117.6782779,96.92919859,108.2350498,103.6563969,76.5173868,105.2264004,85.38097719,42.06463363,74.04223049,46.90864745,59.29383627,51.25227347,60.51040553,51.77275257,86.94606807,87.15194168,51.04693733,64.92575079,44.86705301,51.98849696,48.72494475
ENSMUSG00000066406,31.55065404,43.29702166,30.7651521,33.80464419,37.96052103,35.73799522,37.92612447,44.82762542,98.25604121,75.08826609,101.7005299,97.83806654,104.834129,109.0198346,108.801828,92.21380685,94.97795209,81.5124414,45.40178518,69.56023698,44.75983323,48.19096703,51.02186645,53.96213714,43.76202871,66.77571712,58.05969111,48.26505322,55.04944324,49.02224556,43.54159554,43.33752562
ENSMUSG00000040549,7.077500547,9.349794257,6.130849037,9.608109902,7.214648542,9.48333048,7.902480842,1.298620419,15.28905927,11.32713367,19.71430474,21.32286198,20.39632065,20.54539602,24.7320218,21.08583253,19.13975176,19.8129389,8.67179653,14.09893698,4.69328489,7.902480842,7.109581553,9.495032214,7.466074847,15.83215223,10.04251676,8.05632248,8.293878833,7.974666978,5.610052132,6.060612726
ENSMUSG00000048118,20.26215858,50.0371971,38.01592242,31.48428811,50.50204962,42.13287,20.25657915,39.80050524,85.66311911,78.48873061,91.09243578,107.4325988,97.81611775,126.1525819,101.4953314,81.7394684,70.20162361,86.61367907,32.99734559,63.13885228,39.28401808,45.36390566,41.10656259,54.84298903,42.68144098,80.81159742,62.16057412,33.32103419,54.37473137,65.58420011,47.02802663,35.08241905
ENSMUSG00000060961,85.62100965,73.18206292,66.15839927,75.46874326,86.64439442,68.90661829,70.5867603,56.28491068,175.0060459,164.3002353,225.9685582,210.7564067,197.4863012,174.5983939,195.0714721,190.5897107,159.4680215,197.3732999,115.1427306,155.8646914,91.9721901,88.47287814,127.7261853,97.95758285,111.4472161,118.9482586,145.9773376,88.01669314,113.9307932,114.1142243,102.1254934,101.2381733
ENSMUSG00000028180,23.99715622,34.74648672,35.1391003,30.48747586,46.36998603,34.60251939,29.33948351,34.65767949,74.23182831,73.6733247,86.55560106,106.8357835,83.93206418,97.9087895,99.98746577,83.0454691,68.59072158,92.88534663,35.36552242,77.87094756,31.30413397,44.5627746,38.55765596,47.94107053,35.22391455,54.24240619,62.78346837,48.26505322,46.61701672,45.88366613,50.43955968,32.65872151
ENSMUSG00000078427,28.96208847,24.23738604,22.51491563,24.70790994,25.58582076,23.99224158,18.85137749,20.08775033,45.36390566,48.75757286,68.19331992,67.64444579,62.73477641,57.6549448,72.71058159,63.81672004,53.70191903,62.21907978,27.57467316,54.78557159,20.14776948,25.38433098,26.32550345,27.24200289,19.21055209,33.40069247,28.70129883,27.7673242,22.79183225,25.84764667,24.59629682,25.15893399
ENSMUSG00000024498,11.55537959,28.22458754,18.17177655,16.75407167,21.33712386,19.36431259,9.173554156,21.037227,42.46575427,33.60599445,53.21247551,47.06238411,48.81048597,43.54159554,48.23299803,55.72895815,40.11711828,43.03497479,22.03696617,38.75090036,18.97879195,15.66514188,17.40041755,19.36127771,19.78564021,30.03135668,31.68540311,24.24097377,22.42439595,22.59678364,16.37152543,20.25793157
ENSMUSG00000022911,0.995293722,6.279433879,3.37308448,3.513481554,4.359971132,2.631023434,2.758469561,3.677753924,6.432821627,6.348269876,8.870544829,11.83124592,7.616452598,12.22710407,8.626169059,7.505533383,10.15102114,7.443077798,2.846729968,5.921765418,3.435869986,3.741329732,3.433582841,4.480804604,2.273030676,6.468462932,6.834778883,3.198785699,3.393235487,3.97609061,3.433582841,3.041674822
ENSMUSG00000056608,13.95921037,20.17192756,17.85567663,12.46167207,20.18292699,15.12041373,10.65627075,23.74267334,37.59113407,21.76901782,40.74466984,45.62637862,41.89212016,54.6010244,52.78044051,42.68144098,43.41100917,44.78684108,17.98097005,33.1975562,13.66467823,19.99115056,21.38514456,23.95838623,18.20616442,25.09980024,27.93317461,17.94862375,26.11419269,25.38043535,18.54554226,22.28673815
ENSMUSG00000052337,55.6613164,72.65668466,55.77732409,55.47229236,67.55850594,59.83019577,56.37889025,71.53521305,144.8684316,107.8102703,153.4937293,168.4982482,164.5933952,169.2814694,163.9360483,157.9461153,174.6949907,176.4431277,66.73133465,130.6395651,83.79474017,77.92991759,77.75940801,95.54606888,85.24552649,93.63691734,100.954588,80.50120219,83.11537257,93.02522472,73.0252667,70.4211333
ENSMUSG00000024921,108.2702582,192.0782661,124.5672288,108.7017058,147.072415,119.3756521,98.90977076,114.3654619,303.1105423,237.8471385,324.7033127,315.3985258,333.8498043,392.8971208,333.8498043,262.1563221,320.2965245,335.7042096,141.1274534,259.0177533,146.2554898,191.7641561,156.4940271,200.2334524,167.1453824,237.100684,240.9387113,167.636689,196.9563218,214.2278255,173.225343,192.0782661
ENSMUSG00000030122,54.47057498,152.5657413,81.5438639,77.6291571,77.43687709,90.87904683,52.2834984,80.71755388,188.6307922,92.33961535,208.6318332,288.9863749,198.5797739,289.4148511,200.4200957,178.6944669,225.3349209,196.1210046,73.5387346,121.5835087,53.8459653,74.56607826,76.5173868,78.52066461,67.68565246,128.8600215,124.3376058,66.56213891,65.71554643,75.30977274,67.58599352,65.97219254
ENSMUSG00000030451,32.73506461,51.09356342,37.39617925,37.37052689,39.1490919,43.83746177,26.63899653,21.037227,84.34526362,72.39864759,88.09812377,89.00682325,90.62973887,103.0031209,91.05637522,93.15204588,77.64401944,88.97095463,47.66820719,79.98278061,37.1865452,42.30165894,38.55765596,43.72132519,38.03133156,55.83292292,57.14504918,52.34712701,47.45216483,49.02224556,33.58185824,36.92519424
ENSMUSG00000024384,15.92797809,28.8029344,20.89365605,19.7157571,23.13099533,21.25265448,22.88021057,20.08775033,53.30490006,37.85461725,58.26930836,60.28839088,50.44446774,55.3385028,58.74870493,49.28366555,44.9930571,55.6613164,20.55307547,38.3260098,17.22741928,19.60917759,17.98712667,20.17375442,23.03971835,20.36997403,27.08735382,20.21340797,23.15784241,22.44572702,16.93636957,14.06164784
ENSMUSG00000031902,11.9679966,17.29645759,12.2169064,10.60772313,14.61952854,11.30821926,8.224182947,1.298620419,21.62465091,17.7112232,33.89657805,34.93582133,22.62232892,16.69387797,35.61164867,31.28823468,30.04256015,27.64245064,11.06939227,18.64527592,9.728814599,10.88377456,13.08895635,12.52938091,11.05352012,28.34212565,23.72660411,14.16680065,10.48167096,14.61952854,12.02889498,9.626534803
ENSMUSG00000034163,7.967079634,20.73281351,10.38750063,15.80346207,11.81371251,13.60684089,9.173554156,12.15463541,33.27482297,19.30662553,26.36727845,35.55763428,27.64245064,40.04675146,35.87827401,30.32293779,24.64648986,28.09647154,11.98435176,20.24034077,5.689268047,12.02889498,12.14558722,13.47173374,9.51237897,14.19860565,15.50842417,9.327742228,15.38289675,14.36159928,10.92631031,10.68487823
ENSMUSG00000026464,58.51756586,104.5319484,79.54000687,77.82772113,106.1267705,80.63774269,67.10134987,96.88646694,175.4386924,164.3002353,207.3314116,216.601984,206.1579711,251.0077812,196.1210046,212.7433279,168.9096461,168.830273,73.3796901,121.5835087,87.61746439,103.3693517,92.88534663,123.4552649,122.170326,144.618135,147.7615389,138.7205467,137.5944829,150.2949858,110.5833646,96.9719489
ENSMUSG00000030557,14.71440769,12.43695961,12.6921614,20.25657915,19.19933489,17.25468437,16.93197931,10.17774523,36.62419636,33.95283475,39.60163871,39.14509809,33.08868619,31.09726938,38.05386669,40.08820794,30.04256015,38.37833128,24.24097377,27.00074897,18.13010919,18.19040485,18.96056756,21.73381218,19.62501162,25.09980024,25.31590761,20.21340797,20.55307547,17.04622611,17.98097005,18.96056756
